"Timestamp","What is your age?","What is your gender?","What is your current marital status?","Do you have access to a smartphone?","Have you ever experienced abuse in your life? ","If yes, what types of abuse have you personally experienced or witnessed? (Check all that apply)","What relationship do you have with your abuser?","Have you sought support or help related to abuse?","If yes, please specify the type of support you sought (e.g., counseling, legal assistance, community resources)","What are the biggest challenges you face when it comes to seeking help or support for abuse?","What strategies or coping mechanisms have empowered you during difficult times?","How can society better support survivors of abuse?","Do you believe that technology, such as web applications, can be helpful in addressing issues related to abuse?","Have you ever used a web application to seek help or support for personal issues?","What features or functionalities would you expect to see in a web application designed to support individuals experiencing abuse?","How concerned are you about the safety and privacy of using a web application to seek help or support for abuse?","What measures would you like to see implemented in a web application to ensure the safety and privacy of users?","What types of support services would you find most helpful in a web application for individuals experiencing abuse?","How important is it for a web application to provide access to resources such as hotlines, shelters, counseling services, etc.?","Would you like the option to connect with other individuals who have experienced similar situations through the web application?","How likely are you to use a web application that provides real-time support and guidance for individuals experiencing abuse?","What additional features or functionalities would you like to see in a web application designed to support individuals experiencing abuse?","Do you have any other comments or suggestions for improving a web application aimed at addressing abuse?","","",""
"2024/03/06 2:02:41 PM GMT+3","","Female","Single","Yes","No","","","No","","Knowing who to trust ","","","Yes","","Calling for help","Very concerned about the security of ones details","","Medical help, therapy ","Important","Yes","Very Likely","Messaging ","No comments yet ","Important","No","Knowing who to trust "
"2024/03/07 2:31:22 PM GMT+3","30","Female","Married","Yes","Yes","Sexual abuse","Family member","No","Nil","Fear","I try to forget by occupying my mind with other things ","Quick prosecution and Capital punishment for abusers","Yes","No","Contacts of the right agencies to report that is  close to the victim","Very concerned about the security of ones details","Security and anonymity ","Counseling and friendship ","Important","Yes","Very Likely","Nil","No","","",""
"2024/03/07 8:06:15 PM GMT+3","23","Female","Single","Yes","Yes","Emotional/psychological abuse","Stranger","No","No","Having trust to share my feelings ","Listening to good encouraging comments that life will be better","Giving advice, involving them in community activities ","Yes","No","Connecting certain abuses to professional therapists inline with the victim like categorizing the therapists ","Very concerned about the security of ones details","Talking to like one counselor ","Calls emergency contacts ","Important","Yes","Very Likely","Testimonials ","Not yet ","","",""
"2024/03/07 8:39:16 PM GMT+3","31","Female","Married","Yes","Yes","Witnessing violence","Stranger","No","NIL","Neglect","Keeping calm...","I do not know","Yes","No","Emotional support","Very concerned about the security of ones details","NIL","Depending on the form of abuse","Important","Yes","Very Likely","NIL","NIL","","",""
"2024/03/07 10:02:26 PM GMT+3","36","Female","Single","Yes","Yes","Emotional/psychological abuse","Intimate partner","Yes","Legal","Financial ","Innate strength ","They should stop discriminating them","Yes","No","Counselling features ","Very concerned about the security of ones details","Data encryption and high privacy policy ","Counselling ","Important","No","Not Likely","Can't say","None","","",""
"2024/03/07 11:43:20 PM GMT+3","28","Female","Single","Yes","Yes","Neglect","Friend","No","N/a","Fear of speech with regards to the violence details","During difficult times, i destruct myself with series and Listening to music ","Society should stop the stigma for the abused victims","Yes","No","I would expect to see an easy access to an immediate online counselor for the abused victims","Very concerned about the security of ones details","Security protocols should be added to allow only access of the abused and their online nominated counselor.","Positive emotional coping","Important","Yes","Very Likely","a more detailed website is required (including the nominated counselor for the abused victim)","This web application innovation would touch many hearts of the abused as this will act as a safe space for them.","","",""
"2024/03/08 12:16:20 AM GMT+3","24","Female","Single","Yes","No","None","None","No","No","Not hearing me out","Being myself ","Non stigmatization ","Yes","No","Emergency numbers for dailing","Moderately concerned about the security of ones details","Two factor authentication ","Speed dail","Important","Yes","Very Likely","Guardian details ","No","","",""
"2024/03/08 12:19:48 AM GMT+3","26","Female","Single","Yes","Yes","Sexual abuse","Stranger","No","No","None","Going out, talking to friends and therapy","By letting them know that their voice is heard","Yes","No","Privacy ","Very concerned about the security of ones details","Maybe not include names or contact ","Counseling ","Important","Yes","Very Likely","None","None","","",""
"2024/03/08 12:20:29 AM GMT+3","28","Female","Married","Yes","Yes","Sexual abuse","Intimate partner","No","None","The shame and guilt from society ","Spending time with God","Providing programs in society encouraging victims to come out, protecting victims and arrested abusers should completely serve their time in prison when convicted ","Yes","No","Contacts such as active phone numbers and email addresses to report ","Very concerned about the security of ones details","Individual passwords ","Counseling sessions and security personnel","Important","Yes","Very Likely","Job opportunities ","None","","",""
"2024/03/08 12:36:02 AM GMT+3","31","Female","Single","Yes","Yes","Emotional/psychological abuse","Family member","No","Non","Trust","Self motivation and encouragement","Provide a trusted platform were they can be heard ","No","No","Consultation","Moderately concerned about the security of ones details","Data privacy","Counseling","Important","Yes","Very Likely","Community engagement","No","","",""
